series,episode,baker,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
4,4,Ruby,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,IN
4,4,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,IN
4,5,Christine,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",1,STAR BAKER
4,5,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Frances,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN
4,5,Glenn,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",2,IN
4,5,Howard,Breakfast Traybake,Japanese Pagoda Tea Tower,Howard Middleton,51,Council Worker,Sheffield,8,IN
4,5,Kimberley,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,Kimberley Wilson,30,Psychologist,London,7,IN
4,5,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Robert,Blueberry & Orange Traybake,Dalek,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,OUT
4,5,Ruby,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,IN
4,5,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Beca,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,IN
4,6,Christine,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,IN
4,6,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Frances,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN
4,6,Glenn,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",5,IN
4,6,Howard,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,Howard Middleton,51,Council Worker,Sheffield,7,OUT
4,6,Kimberley,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,Kimberley Wilson,30,Psychologist,London,3,IN
4,6,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Robert,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Ruby,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER
4,6,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Beca,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,IN
4,7,Christine,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",6,IN
4,7,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Frances,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,STAR BAKER
4,7,Glenn,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",3,OUT
4,7,Howard,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Kimberley,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",Kimberley Wilson,30,Psychologist,London,4,IN
4,7,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Robert,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Ruby,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,IN
4,7,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,IN
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",5,OUT
4,8,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN
4,8,Glenn,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Howard,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,Kimberley Wilson,30,Psychologist,London,2,IN
4,8,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Robert,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Ruby,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER
4,8,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,OUT
4,9,Christine,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Frances,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN
4,9,Glenn,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Howard,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,Kimberley Wilson,30,Psychologist,London,1,STAR BAKER
4,9,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Robert,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,IN
4,9,Toby,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Ali,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Beca,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Christine,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Deborah,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Frances,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,WINNER
4,10,Glenn,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Howard,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Kimberley,Chicken and Pig Pie,Languages of Love Wedding Cake,Kimberley Wilson,30,Psychologist,London,1,Runner-up
4,10,Lucy,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Mark,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Robert,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Ruby,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,Runner-up
4,10,Toby,NA,NA,NA,NA,NA,NA,NA,NA
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",3,IN
5,1,Claire,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",8,OUT
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,IN
5,1,Enwezor,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",9,IN
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",Iain Watters,31,Construction Engineer,London/Belfast,4,IN
5,1,Jordan,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",12,IN
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",6,IN
5,1,Luis,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",7,IN
5,1,Martha,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,Martha Collison,17,Student,"Ascot, Berkshire",2,IN
5,1,Nancy,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,STAR BAKER
5,1,Norman,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",11,IN
5,1,Richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,Richard Burr,38,Builder,"Mill Hill, London",10,IN
5,2,Chetna,Fenugreek and Carom Crackers,Day On The Beach,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",8,IN
5,2,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,2,Diana,Parmesan Triangles,"Express, First Class",Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7,IN
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",9,OUT
5,2,Iain,Za'atar and Fig Biscuits,Wild West Scene,Iain Watters,31,Construction Engineer,London/Belfast,11,IN
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",6,IN
5,2,Kate,Parmesan and Apple Biscuits,Tea Time,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",4,IN
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",3,IN
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,Martha Collison,17,Student,"Ascot, Berkshire",5,IN
5,2,Nancy,Fennel and Rye Thins,Hansel and Gretel Scene,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",2,IN
5,2,Norman,Farthing Biscuits,Zulu Boats at Dawn,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",10,IN
5,2,Richard,Rosemary Seeded Crackers,Pirates!,Richard Burr,38,Builder,"Mill Hill, London",1,STAR BAKER
5,3,Chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",8,IN
5,3,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,3,Diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7,IN
5,3,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,Iain Watters,31,Construction Engineer,London/Belfast,9,IN
5,3,Jordan,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",10,OUT
5,3,Kate,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",1,IN
5,3,Luis,Opposites Attract Rolls,Roscón de Reyes,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,STAR BAKER
5,3,Martha,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,Martha Collison,17,Student,"Ascot, Berkshire",3,IN
5,3,Nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,IN
5,3,Norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",4,IN
5,3,Richard,Rye and Cranberry Rolls,Pesto Pinwheel,Richard Burr,38,Builder,"Mill Hill, London",6,IN
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",3,IN
5,4,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",9,IN
5,4,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Iain,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Iain Watters,31,Construction Engineer,London/Belfast,6,OUT
5,4,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",7,IN
5,4,Luis,Pears in Puddings,Bakewell Alaska,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,IN
5,4,Martha,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,Martha Collison,17,Student,"Ascot, Berkshire",1,IN
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",4,IN
5,4,Norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",8,IN
5,4,Richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,Richard Burr,38,Builder,"Mill Hill, London",5,STAR BAKER
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",2,IN
5,5,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Diana,NA,NA,NA,NA,NA,NA,NA,WD
5,5,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Kate,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",3,STAR BAKER
5,5,Luis,Tropical Manchester Tart,Four Fruity Seasons Tower,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",6,IN
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,Martha Collison,17,Student,"Ascot, Berkshire",1,IN
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",4,IN
5,5,Norman,Tarte au Citron,Pieful Tower,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",5,OUT
5,5,Richard,Fig and Orange Tart,Three Course Autumn Pie Feast,Richard Burr,38,Builder,"Mill Hill, London",7,IN
5,6,Chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",2,STAR BAKER
5,6,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Diana,NA,NA,NA,NA,NA,NA,NA,IN
5,6,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",6,IN
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",3,IN
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Martha Collison,17,Student,"Ascot, Berkshire",4,IN
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,IN
5,6,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,Richard Burr,38,Builder,"Mill Hill, London",5,IN
5,7,Chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",6,IN
5,7,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Diana,NA,NA,NA,NA,NA,NA,NA,IN
5,7,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Kate,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",4,OUT
5,7,Luis,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",5,IN
5,7,Martha,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Martha Collison,17,Student,"Ascot, Berkshire",3,IN
5,7,Nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",2,IN
5,7,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Richard Burr,38,Builder,"Mill Hill, London",1,STAR BAKER
5,8,Chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",1,IN
5,8,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Diana,NA,NA,NA,NA,NA,NA,NA,IN
5,8,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Luis,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,IN
